"date","instances"
"2023-02-17","258"
"2023-01-02","258"
"2023-03-22","258"
"2023-02-22","258"
"2023-10-26","257"
"2023-09-21","257"
"2023-12-24","257"
"2023-12-17","257"
"2023-02-05","256"
"2023-02-13","256"
"2023-07-14","255"
"2023-11-13","255"
"2023-04-07","254"
"2023-03-25","254"
"2023-12-29","253"
"2023-01-28","253"
"2023-10-08","252"
"2023-11-29","252"
"2023-04-15","252"
"2023-11-01","251"
"2023-06-16","250"
"2023-12-11","250"
"2023-08-23","250"
"2023-10-18","249"
"2023-03-10","249"
"2023-09-22","248"
"2023-04-03","248"
"2023-03-26","247"
"2023-07-01","246"
"2023-08-19","246"
"2023-02-15","246"
"2023-04-14","246"
"2023-06-20","245"
"2023-06-14","244"
"2023-11-15","242"
"2023-11-09","241"
"2023-08-08","240"
"2023-11-27","240"
"2023-08-02","240"
"2023-02-08","240"
"2023-02-04","239"
"2023-07-19","239"
"2023-12-23","234"
"2023-06-22","234"
"2023-11-23","233"
"2023-03-14","232"
"2023-09-17","231"
"2023-12-19","230"
"2023-06-26","228"
"2023-01-08","227"
"2023-10-19","227"
"2023-07-03","227"
"2023-07-30","226"
"2023-09-13","224"
"2023-12-06","223"
"2023-03-08","223"
"2023-05-07","220"
"2023-04-30","218"
"2023-04-01","217"
"2023-10-31","216"
"2023-11-25","215"
"2023-12-03","211"
"2023-09-11","210"
"2023-09-20","208"
"2023-11-24","203"
"2023-09-02","202"
"2023-10-02","199"
"2023-12-18","190"
"2023-05-08","189"
"2023-09-15","189"
"2023-01-23","185"
"2023-05-31","175"
"2023-03-23","163"
"2023-11-10","159"
"2023-01-27","141"
