"topic","variability"
"already_submitted_application","25.8791154522114716"
"return_to_main_menu","14.8210119933694807"
"connection_with_agent","14.2551489967261289"
"status_of_ticket_application","14.0012429288478447"
"how_to_check_the_status","13.9788489933213812"
"household_restrictions","4.6793511260334506"
"how_to_complete_or_submit_an_application","3.8470239870746587"
"payment_methods","3.3484028874574522"
"other_information_for_the_process","1.5241692742332244"
"online_process","1.4518049001196547"
"ticket_application_process","1.4203738909402446"
"matches","1.3879060867851832"
"legal_documents","1.3879060867851832"
"fan_id","1.3879060867851832"
"health_and_safety_measures","1.3879060867851832"
"the_personal_details","1.3879060867851832"
"types_of_accessibility_tickets","1.3879060867851832"
"information_about_ticket_sales","1.3879060867851832"
"ticket_products","1.3879060867851832"
"sales_phases","1.3879060867851832"
"ticket_categories","1.3879060867851832"
"ticket_prices","1.3879060867851832"
"confirmed_tickets","1.3879060867851832"
"any_other_enquireis","1.3879060867851832"
"cancellation_and_resale","1.3879060867851832"
